filename,label,class_pred,wrong,softmax_prob_0,softmax_prob_1
dataset/test/no/CR.1.2.840.113564.10160118173.2019051204530686848.1203801020003.jpg,0,0,0,0.999611199,0.000388797
dataset/test/no/CR.1.3.51.0.7.1848195628.52831.20035.36778.11697.1404.39781.jpg,0,0,0,0.97710973,0.022890326
dataset/test/no/CR.1.3.51.0.7.849103950.482.47168.48700.12469.42901.32346.jpg,0,0,0,0.99680835,0.003191573
dataset/test/no/DX.1.2.840.113564.109518192.2016110315505041597.3203801020003.jpg,0,0,0,0.98586005,0.014139945
dataset/test/no/DX.1.2.840.113619.2.189.4.2147483647.1335232584.248772.jpg,0,0,0,0.999554694,0.000445312
dataset/test/no/DX.1.2.840.113619.2.203.4.2147483647.1525359751.508614.jpg,0,0,0,0.999910474,8.95E-05
dataset/test/no/DX.1.2.840.113619.2.203.4.2147483647.1559239041.880544.jpg,0,0,0,1,2.61E-08
dataset/test/no/DX.1.2.840.113619.2.308.4.2147483647.1360142865.647072.jpg,0,0,0,0.99930048,0.000699522
dataset/test/no/DX.1.2.840.113619.2.308.4.2147483647.1396650866.426393.jpg,0,0,0,0.984459162,0.015540824
dataset/test/no/R1.png,0,1,1,0.000245308,0.999754727
dataset/test/yes/CR.1.2.840.113564.1016011968.20170726202433707540.1203801020003.jpg,1,1,0,1.74E-05,0.999982595
dataset/test/yes/CR.1.3.51.0.7.11905460686.18851.43847.33667.11172.47417.47400.jpg,1,1,0,0.014743976,0.985256076
dataset/test/yes/CR.1.3.51.0.7.12820224298.43755.15424.36553.7638.16688.55351.jpg,1,1,0,4.06E-06,0.999995947
dataset/test/yes/CR.1.3.51.0.7.14093248721.39901.52044.38350.48494.24159.51725.jpg,1,1,0,0.016695244,0.983304739
dataset/test/yes/D1.png,1,1,0,0.000156071,0.999843955
dataset/test/yes/D10.png,1,1,0,9.86E-05,0.999901414
dataset/test/yes/D11.png,1,1,0,0.000326772,0.999673247
dataset/test/yes/D12.png,1,1,0,0.00014399,0.999855995
dataset/test/yes/D13.png,1,1,0,0.00011224,0.999887705
dataset/test/yes/D14.png,1,1,0,0.007861451,0.992138565
