filename,label,class_pred,wrong,softmax_prob,raw_output_0,raw_output_1
dataset/test/no/080626_02.jpeg,0,0,0,[9.99984860e-01 1.50837095e-05],5.547043800354004,-5.554836273193359
dataset/test/no/9dd48dd845250594593923a9f53c82_jumbo.jpg,0,0,0,[9.9999571e-01 4.2997026e-06],6.1410813331604,-6.215878486633301
dataset/test/no/THR-postop.jpg,0,0,0,[0.5148594 0.4851406],-0.11496415734291077,-0.17441925406455994
dataset/test/no/loose-right-total-hip-prosthesis (1).jpg,0,0,0,[0.99390876 0.00609127],2.5292739868164062,-2.5655150413513184
dataset/test/no/loosening-of-hip-prosthesis (1).jpg,0,0,0,[9.99999881e-01 1.08283466e-07],7.895474910736084,-8.143037796020508
dataset/test/no/periprosthetic-femoral-fracture-vancouver-type-b2-1 (1).png,0,0,0,[0.99635243 0.00364751],2.8454387187957764,-2.764617919921875
dataset/test/no/short-stem-hip-arthroplasty.jpg,0,0,0,[0.14801854 0.85198146],-0.9075955748558044,0.8426316976547241
dataset/test/no/th.jpeg,0,0,0,[0.8152676  0.18473235],0.6439446210861206,-0.8406637907028198
dataset/test/no/total-hip-arthroplasty (1).png,0,0,0,[0.9653737  0.03462628],1.6654889583587646,-1.662413477897644
dataset/test/no/xray2_Total_Hip_Replacement_cemented_highly_crosslinked_polyethylene_cup_Reflection_cemented _femoral_stem_Exeter_ceramic_head_LG.jpg,0,0,0,[9.9996090e-01 3.9079747e-05],4.959328651428223,-5.19053840637207
dataset/test/yes/1-s2.0-S0735675714003118-gr4_lrg.jpg,1,1,0,[6.342533e-07 9.999994e-01],-7.153565883636475,7.117250919342041
dataset/test/yes/1-s2.0-S235234411500031X-gr4.jpg,1,1,0,[6.367624e-07 9.999994e-01],-7.282411575317383,6.984456539154053
dataset/test/yes/3f32c89253a5b847de7a02364772f2.jpg,1,1,0,[4.810559e-09 1.000000e+00],-9.883857727050781,9.268594741821289
dataset/test/yes/4446_orig.jpg,1,1,0,[6.2812313e-07 9.9999940e-01],-7.226385593414307,7.054142951965332
dataset/test/yes/65772296583ccd54744b49232fe812_jumbo.jpeg,1,1,0,[2.6570493e-05 9.9997342e-01],-5.282834053039551,5.252849102020264
dataset/test/yes/HIP_PROSTHESIS_DISLOCATION-550x515.jpg,1,1,0,[5.308305e-04 9.994692e-01],-3.919485330581665,3.621051788330078
dataset/test/yes/WJO-3-122-g001.jpg,1,1,0,[4.4611556e-07 9.9999952e-01],-7.477323055267334,7.145364284515381
dataset/test/yes/dn25787-3_800.jpg,1,1,0,[1.1324744e-04 9.9988675e-01],-4.8222808837890625,4.263541221618652
dataset/test/yes/images.jpeg,1,1,0,[7.203506e-07 9.999993e-01],-7.223731517791748,6.919795513153076
dataset/test/yes/thr5.jpg,1,1,0,[1.0030762e-04 9.9989963e-01],-4.6961469650268555,4.511021614074707
