filename,label,class_pred,wrong,softmax_prob,raw_output_0,raw_output_1
dataset/test/no/CR.1.2.840.113564.1016011968.20181023221453632760.1203801020003.jpg,0,0,0,[0.11930414 0.8806959 ],-1.084080458,0.914955914
dataset/test/no/CR.1.3.51.0.7.12795977108.52649.46926.40240.522.31896.43533.jpg,0,0,0,[0.7912766  0.20872343],0.523199677,-0.809437931
dataset/test/no/CR.1.3.51.0.7.13844950165.13829.10821.35157.27711.22422.47812.jpg,0,0,0,[0.95773244 0.04226758],1.371331453,-1.749216557
dataset/test/no/CR.1.3.51.0.7.1627266532.24606.23885.43269.29619.16881.6719.jpg,0,0,0,[0.71463263 0.2853674 ],0.321931928,-0.596059263
dataset/test/no/CR.1.3.51.0.7.3528240817.24378.25415.44729.41674.7124.49456.jpg,0,0,0,[0.6042085  0.39579144],0.123594351,-0.299437642
dataset/test/no/CR.1.3.51.0.7.524044359.26456.8526.35789.14646.4338.21733.jpg,0,0,0,[0.9976935  0.00230645],2.814492941,-3.255243301
dataset/test/no/CR.1.3.51.0.7.531131069.25690.48968.47380.46069.17838.41624.jpg,0,0,0,[0.94103086 0.05896915],1.145827532,-1.624134064
dataset/test/no/DX.1.2.840.113619.2.189.4.2147483647.1330305450.432502.jpg,0,0,0,[0.308966   0.69103396],-0.505139053,0.299818665
dataset/test/no/DX.1.2.840.113619.2.189.4.2147483647.1366292505.418727.jpg,0,0,0,[0.99870694 0.001293  ],3.112418175,-3.537076235
dataset/test/no/DX.1.2.840.113619.2.189.4.2147483647.1377147405.962770.jpg,0,0,0,[0.99897134 0.00102862],3.224548817,-3.653957605
dataset/test/yes/CR.1.2.840.113564.10160118172.2018121423553388184.1203801020003.jpg,1,1,0,[0.02996436 0.9700356 ],-1.769363761,1.707960486
dataset/test/yes/CR.1.2.840.113564.1016011968.20180217115703090410.1203801020003.jpg,1,1,0,[4.532554e-05 9.999547e-01],-5.182636738,4.818957329
dataset/test/yes/CR.1.2.840.113564.1016082112.20161014235728496370.1203801020003.jpg,1,1,0,[2.352890e-06 9.999976e-01],-6.700184822,6.259678841
dataset/test/yes/CR.1.3.51.0.7.11429344642.62904.48454.41936.28184.34186.16687.jpg,1,1,0,[1.0902076e-04 9.9989092e-01],-4.776719093,4.34714365
dataset/test/yes/CR.1.3.51.0.7.12500046502.65353.12104.42412.43135.33029.58919.jpg,1,1,0,[8.644621e-05 9.999136e-01],-4.897933483,4.457968712
dataset/test/yes/CR.1.3.51.0.7.13044619060.33770.58191.46504.45879.44640.40067.jpg,1,1,0,[4.7403369e-06 9.9999523e-01],-6.310373306,5.9490242
dataset/test/yes/CR.1.3.51.0.7.13551336274.16248.38478.42294.1121.12567.5530.jpg,1,1,0,[6.242800e-06 9.999938e-01],-6.27368021,5.710395336
dataset/test/yes/CR.1.3.51.0.7.1395631094.33661.17484.42909.850.2573.57067.jpg,1,1,0,[5.2012069e-06 9.9999475e-01],-6.373304844,5.793310165
dataset/test/yes/CR.1.3.51.0.7.1854155717.40547.58958.42681.20601.6224.18603.jpg,1,1,0,[4.9116963e-04 9.9950886e-01],-4.083512306,3.534717798
dataset/test/yes/CR.1.3.51.0.7.4167415568.49661.57678.46952.3786.54046.39954.jpg,1,1,0,[1.810444e-05 9.999819e-01],-5.624358177,5.294977188
